APcomp Depth,Age (kyr),Age Uncertainty (kyr),Event,Method,U1475 Depth,MD02-2588 Depth,Uncertainty ,Core
41.88,1530,6,,18O_cib to Prob-Stack (Starr et al 2021),40.73,,0.09,361-U1475
42.96,1569,,B C1r,Polarity,41.81,,0.5,361-U1475
44.48,1642,6,MIS 64/63,18O_cib to Prob-Stack,43.33,,0.05,361-U1475
45.33,1700,6,,18O_cib to Prob-Stack,44.18,,0.05,361-U1475
46.67,1782,6,,18O_cib to Prob-Stack,45.52,,0.09,361-U1475
47.1,1805,6,,18O_cib to Prob-Stack,45.95,,0.1,361-U1475
47.76,1860,6,,18O_cib to Prob-Stack,46.61,,0.5,361-U1475
49.5,1900,6,,18O_cib to Prob-Stack,48.35,,0.3,361-U1475
50.4,1950,6,,18O_cib to Prob-Stack,49.25,,0.03,361-U1475
50.9,2010,6,,18O_cib to Prob-Stack,49.75,,0.04,361-U1475
53,2080,6,,18O_cib to Prob-Stack,51.85,,0.04,361-U1475
53.7,2142,6,,18O_cib to Prob-Stack,52.55,,0.05,361-U1475
54.85,2197,6,,18O_cib to Prob-Stack,53.7,,,361-U1475
56.47,2235.53,6,,18O_cib to Prob-Stack,55.32,,,361-U1475
58.33,2315,6,,18O_cib to Prob-Stack,57.18,,,361-U1475
59.8,2349.73,6,,18O_cib to Prob-Stack,58.65,,,361-U1475
61.52,2428.29,6,,18O_cib to Prob-Stack,60.36,,,361-U1475
62.85,2480,6,,18O_cib to Prob-Stack,61.7,,,361-U1475
63.65,2510.78,6,,18O_cib to Prob-Stack,62.5,,,361-U1475
64,2540,6,,18O_cib to Prob-Stack,62.85,,,361-U1475
66.55,2620,6,,18O_cib to Prob-Stack,65.4,,,361-U1475
67,2640,6,,18O_cib to Prob-Stack,65.85,,,361-U1475
69,2680,6,,18O_cib to Prob-Stack,67.85,,,361-U1475
70.2,2736,6,,18O_cib to Prob-Stack,69.05,,,361-U1475
72.55,2798,6,,18O_cib to Prob-Stack,71.4,,,361-U1475
73.75,2839.31,6,,18O_cib to Prob-Stack,72.6,,,361-U1475
78.66,2930,6,,18O_cib to Prob-Stack,77.5,,,361-U1475
83.5,3000,6,,18O_cib to Prob-Stack,82.35,,,361-U1475
84.3,3030,6,,18O_cib to Prob-Stack,83.15,,,361-U1475
86,3090,6,,18O_cib to Prob-Stack,84.85,,,361-U1475
88.5,3150,6,,18O_cib to Prob-Stack,87.35,,,361-U1475
93,3207,,B C2An.2n,Polarity,91.85,,,361-U1475
97.5,3290,,MIS M2,Phys Prop Stack,96.35,,,361-U1475
113,3590,,,Phys Prop Stack,111.85,,,361-U1475
121.6,3996,,,Phys Prop Stack,120.45,,,361-U1475
128.5,4120,,,Phys Prop Stack,127.35,,,361-U1475
